,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points,Calidad
325,2,3,4,0.11,2013,1,1775.0,1,1,83.0,Bueno
326,2,3,4,0.0,2013,1,1750.0,0,0,83.0,Bueno
327,2,3,0,0.11,2013,1,1000.0,0,1,83.0,Bueno
328,2,3,0,0.0,2013,1,1000.0,0,2,83.0,Bueno
329,2,3,4,0.11,2012,1,1775.0,1,2,83.0,Bueno
330,11,15,4,0.11,2012,1,750.0,0,20,83.0,Bueno
331,11,15,3,0.11,2012,1,1200.0,0,7,83.0,Bueno
332,11,0,4,0.11,2012,1,1200.0,5,8,83.0,Bueno
333,2,3,4,0.0,2012,1,1625.0,0,4,83.0,Bueno
334,2,3,4,0.11,2012,1,1750.0,0,0,83.0,Bueno
335,6,0,4,0.1,2012,1,418.04327948796094,0,2,83.0,Bueno
336,2,3,4,0.12,2011,0,1775.0,0,0,83.0,Bueno
337,0,0,0,0.0,2018,1,890.0,0,0,82.92,Bueno
338,4,0,4,0.0,2017,1,1350.0,0,1,82.92,Bueno
339,2,3,4,0.11,2017,1,1500.0,0,1,82.92,Bueno
340,15,3,0,0.09,2016,1,350.0,31,0,82.92,Bueno
341,5,7,4,0.0,2016,0,2000.0,1,20,82.92,Bueno
342,15,15,0,0.0,2014,1,775.0,0,9,82.92,Bueno
343,14,7,4,0.11,2015,0,1200.0,0,1,82.92,Bueno
344,14,7,4,0.0,2014,0,1600.0,0,0,82.92,Bueno
345,11,15,0,0.13,2015,0,1059.0,0,3,82.92,Bueno
346,11,0,4,0.12,2015,0,1300.0,2,8,82.92,Bueno
347,18,11,4,0.12,2013,1,1650.0,0,0,82.92,Bueno
348,18,11,4,0.12,2013,1,1400.0,0,4,82.92,Bueno
349,6,0,4,0.1,2014,1,1500.0,0,1,82.92,Bueno
350,6,3,0,0.1,2014,1,1500.0,0,2,82.92,Bueno
351,2,3,4,0.11,2013,1,1900.0,0,2,82.92,Bueno
352,2,3,0,0.0,2013,0,1750.0,0,0,82.92,Bueno
353,6,0,4,0.11,2013,1,520.2316366961293,0,2,82.92,Bueno
354,2,7,4,0.11,2013,1,1450.0,3,5,82.92,Bueno
355,11,15,0,0.1,2012,1,1248.0,0,4,82.92,Bueno
356,19,7,0,0.0,2012,1,1040.0,0,17,82.92,Bueno
357,11,15,4,0.14,2012,1,1400.0,1,4,82.92,Bueno
358,9,12,4,0.1,2017,1,1754.0,0,3,82.83,Bueno
359,6,0,4,0.11,2017,1,1700.0,1,2,82.83,Bueno
360,0,16,2,0.11,2015,0,905.0,0,2,82.83,Bueno
361,4,9,4,0.0,2016,1,1250.0,0,4,82.83,Bueno
362,14,0,4,0.11,2015,0,1900.0,0,0,82.83,Bueno
363,19,7,1,0.11,2014,1,1040.0,11,0,82.83,Bueno
364,6,0,4,0.11,2015,1,371.5940262115209,0,2,82.83,Bueno
365,0,2,0,0.12,2015,1,900.0,2,6,82.83,Bueno
366,6,0,4,0.1,2014,1,1500.0,0,4,82.83,Bueno
367,2,15,0,0.0,2013,1,1800.0,4,4,82.83,Bueno
368,2,3,4,0.11,2013,1,1775.0,0,3,82.83,Bueno
369,16,7,4,0.11,2012,1,1400.0,0,5,82.83,Bueno
370,11,3,4,0.12,2012,1,1550.0,2,10,82.83,Bueno
371,11,0,4,0.12,2012,0,1250.0,0,7,82.83,Bueno
372,6,0,4,0.11,2012,1,399.46357817738493,0,10,82.83,Bueno
373,6,3,4,0.11,2017,1,1800.0,0,8,82.75,Bueno
374,6,0,4,0.11,2017,1,1700.0,0,4,82.75,Bueno
375,6,0,4,0.1,2017,1,371.5940262115209,0,1,82.75,Bueno
376,6,0,4,0.1,2017,1,371.5940262115209,0,1,82.75,Bueno
377,8,7,1,0.12,2017,0,1500.0,0,15,82.75,Bueno
378,6,0,4,0.12,2017,1,48.12142639439195,0,0,82.75,Bueno
379,15,16,0,0.0,2016,1,650.0,0,0,82.75,Bueno
380,3,3,4,0.09,2016,0,1850.0,0,1,82.75,Bueno
381,7,3,0,0.09,2017,1,1400.0,0,6,82.75,Bueno
